Metric,Value
Accuracy,0.5585120050246952
Precision,0.22647409172126265
Recall,0.05580832171424378
F1-Score,0.08954960259052105
Balanced-Accuracy,0.46721490852067327
ROC-AUC,0.36473984869922205
Runtime-Seconds,62.05618405342102
