Fold,Accuracy,F1-Score,ROC-AUC
1,0.5295396882928597,0.44027598102630444,0.5548430762155683
2,0.665213442325159,0.4744796122041631,0.6631241578183772
3,0.6666666666666666,0.5254719420739591,0.6392611497671641
4,0.6852256186317321,0.5915958451369216,0.7305352125126142
5,0.7460780736957315,0.5884092253104671,0.7317325463819859
