,0
Accuracy,0.7431469497564168
Precision,0.7084781097984711
Recall,0.5735583684950774
F1-Score,0.6339188558992694
Balanced-Accuracy,0.7120508427001246
ROC-AUC,0.7144693649294761
Runtime-Seconds,5.080325365066528
