Fold,Accuracy,F1-Score,ROC-AUC
1,0.5436493068565006,0.4648506151142355,0.5932228503692896
2,0.6217129977460556,0.48119526017516745,0.6651465348209932
3,0.7216378662659655,0.6232841891204881,0.6678145381594919
4,0.708803611738149,0.5793478260869566,0.7497196391074601
5,0.7608449641644662,0.5941101152368758,0.7431787258010417
