Metric,Value
Accuracy,0.7081641858367163
Precision,0.6487455197132617
Recall,0.5295494441193681
F1-Score,0.583118556701031
Balanced-Accuracy,0.6748664651789501
ROC-AUC,0.7117113393207036
Runtime-Seconds,5.701042890548706
