Metric,Value
Accuracy,0.6580213501729063
Precision,0.5654438405797102
Recall,0.4870294519212015
F1-Score,0.5233155192287541
Balanced-Accuracy,0.6261446953795611
ROC-AUC,0.6501890155195645
Runtime-Seconds,10.890372276306152
