,0
Accuracy,0.7398887385355586
Precision,0.7040391676866585
Recall,0.5609518236785644
F1-Score,0.6244029526704299
Balanced-Accuracy,0.7065309577108418
ROC-AUC,0.7209200914508487
Runtime-Seconds,2.7518601417541504
