Metric,Value
Accuracy,0.6091015502326776
Precision,0.48913406887328653
Recall,0.10736038746606003
F1-Score,0.17607413647851727
Balanced-Accuracy,0.5179792591535908
ROC-AUC,0.5496467156668763
Runtime-Seconds,19.99497079849243
