,0
Accuracy,0.7384874525366146
Precision,0.6987630150396014
Recall,0.5762089968444999
F1-Score,0.6315958815958816
Balanced-Accuracy,0.709015713375521
ROC-AUC,0.6930640422155301
Runtime-Seconds,20.02685284614563
