,0
Accuracy,0.7426128415222543
Precision,0.7078844159942298
Recall,0.5761723049827548
F1-Score,0.6352731759613245
Balanced-Accuracy,0.7123852179119381
ROC-AUC,0.7235960780686228
Runtime-Seconds,13.32187271118164
