Metric,Value
Accuracy,0.6523667563440704
Precision,0.5679438216089688
Recall,0.43225503984997654
F1-Score,0.4908955382813332
Balanced-Accuracy,0.6120066244912254
ROC-AUC,0.6610331961438627
Runtime-Seconds,7.671215534210205
