Metric,Value
Accuracy,0.6863847888771519
Precision,0.6177676740661496
Recall,0.508512511924855
F1-Score,0.5578409273868942
Balanced-Accuracy,0.6540810223175677
ROC-AUC,0.6861534386789833
Runtime-Seconds,61.69748139381409
