Metric,Value
Accuracy,0.6459179070816419
Precision,0.5489781536293165
Recall,0.45582211819777646
F1-Score,0.49808184143222506
Balanced-Accuracy,0.6104798664383377
ROC-AUC,0.6521226772695253
Runtime-Seconds,11.599442958831787
