Metric,Value
Accuracy,0.6569688768606224
Precision,0.5590699622957688
Recall,0.5205773356738833
F1-Score,0.5391374608625391
Balanced-Accuracy,0.6315424904669111
ROC-AUC,0.6702794523685544
Runtime-Seconds,15.319167852401733
