Metric,Value
Accuracy,0.6480040718388715
Precision,0.5589399208538194
Recall,0.43703703703703706
F1-Score,0.49052830982950957
Balanced-Accuracy,0.6093207274134773
ROC-AUC,0.6532214833126788
Runtime-Seconds,10.835294961929321
