fold,accuracy,precision,recall,f1,roc_auc,avg_precision,mse,mae,mean_confidence
1,0.6517857142857143,0.3275862068965517,1.0,0.4935064935064935,0.8574482801987046,0.38840828142407274,0.24928155820096295,0.451837870514109,1.0
2,0.9391025641025641,0.8571428571428571,1.0,0.9230769230769231,0.9725323409533936,0.9401701265098403,0.09924871163265687,0.28679778505689824,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.06218019185757732,0.24758616608766773,1.0
4,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.7877274204028589,0.9062548369164174,0.2118852519832836,0.39070043415718136,1.0
5,0.7172619047619048,1.0,0.5833333333333334,0.7368421052631579,0.8170484080571799,0.918141671459124,0.2657109226494991,0.42306250567725373,1.0
