Metric,Value
Accuracy,0.684934596301308
Precision,0.6040925266903915
Recall,0.5297444899551395
F1-Score,0.5644809311025668
Balanced-Accuracy,0.6560037434485178
ROC-AUC,0.6853281869863271
Runtime-Seconds,11.746126174926758
