Metric,Value
Accuracy,0.6397149712789937
Precision,0.5348858700674615
Recall,0.542709798406001
F1-Score,0.538769431257563
Balanced-Accuracy,0.6219279055565424
ROC-AUC,0.6392886886987706
Runtime-Seconds,55.2644362449646
