Fold,Accuracy,F1-Score,ROC-AUC
1,0.807372091368391,0.7251497613970962,0.7819660905096819
2,0.6780543470508523,0.5427471636952999,0.6539764391142453
3,0.7264103844233649,0.6180804460374353,0.715234491600696
4,0.7475173251411017,0.6674821226947686,0.7379333787316027
5,0.7364274459246526,0.5863309352517986,0.7044231653421428
