,0
Accuracy,0.738566131025958
Precision,0.6970281306715064
Recall,0.5761837787154243
F1-Score,0.6308711051794056
Balanced-Accuracy,0.7087913727613104
ROC-AUC,0.7031721192111108
Runtime-Seconds,7.644036054611206
