Classifier,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime
Single Forest,0.7398887385355586,0.7040391676866585,0.5609518236785644,0.6244029526704299,0.7209200914508487,2.7518601417541504
Face Specialist,0.6039693279206134,0.48214737908331223,0.3713672713087576,0.41956809167033937,0.5848365402566852,2.1142961978912354
Voice Specialist,0.7414674485039844,0.7058536585365853,0.5644626487224498,0.6272894765362523,0.6940693062869774,1.7049245834350586
Physio Specialist,0.729965418734025,0.6763962307515514,0.5740198946752487,0.6210170922135472,0.7103047188566378,0.8932168483734131
Combined Ensemble,0.7430461584724102,0.7047687514977234,0.5736298030037059,0.6324731182795699,0.6967202953244471,4.712437629699707
