Classifier,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime
Single Forest,0.7426128415222543,0.7078844159942298,0.5761723049827548,0.6352731759613245,0.7235960780686228,13.32187271118164
Face Specialist,0.6028206811887972,0.485968885387948,0.3621853672855361,0.41504435941638984,0.5730604497564964,9.78745412826538
Voice Specialist,0.7426271162246267,0.7081603177468857,0.575695310780069,0.6350941105039466,0.6955074484479343,7.423113822937012
Physio Specialist,0.7365175436092157,0.7005106227774232,0.5637704557129228,0.6247458729771489,0.6995673185073065,2.8162848949432373
Combined Ensemble,0.7384874525366146,0.6987630150396014,0.5762089968444999,0.6315958815958816,0.6930640422155301,20.02685284614563
