Metric,Value
Accuracy,0.6475717937152308
Precision,0.5571763480072935
Recall,0.41720304271503805
F1-Score,0.4771358465313406
Balanced-Accuracy,0.6046259861893233
ROC-AUC,0.6444134637694903
Runtime-Seconds,4.455302000045776
