Metric,Value
Accuracy,0.40592971136551803
Precision,0.227177753295597
Recall,0.21941733323548837
F1-Score,0.2232301174011236
Balanced-Accuracy,0.3720567974588657
ROC-AUC,0.2893981561653644
Runtime-Seconds,3646.2568879127502
