Metric,Value
Accuracy,0.5109201473149285
Precision,0.3846305807981035
Recall,0.4286343289058487
F1-Score,0.4054419879915316
Balanced-Accuracy,0.49597604295759723
ROC-AUC,0.4874484710809834
Runtime-Seconds,43.692951917648315
