Fold,Accuracy,F1-Score,ROC-AUC
1,0.4720913374411018,0.37395228884590587,0.4102914521640896
2,0.6296094459582198,0.20444791260241904,0.6346468802486674
3,0.6288828337874659,0.5260960334029228,0.6128652016841633
4,0.5884279475982532,0.4837973528069375,0.5914906693447662
5,0.5324699014958044,0.38581356338365685,0.5178899889141196
