Classifier,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime
Single Forest,0.7431469497564168,0.7084781097984711,0.5735583684950774,0.6339188558992694,0.7144693649294761,5.080325365066528
Face Specialist,0.6065585690394822,0.4900114518386563,0.36108766994842945,0.41578492766141223,0.5894729149968962,3.805333137512207
Voice Specialist,0.7421653457427471,0.7073227341302077,0.5714955461790905,0.6321958303080594,0.6957268935987239,2.7774949073791504
Physio Specialist,0.73060423180397,0.6829679595278246,0.569620253164557,0.6211656441717791,0.7085818902493699,1.0612080097198486
Combined Ensemble,0.738566131025958,0.6970281306715064,0.5761837787154243,0.6308711051794056,0.7031721192111108,7.644036054611206
